Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Assign to team),Custom field (Backlog Weight),Custom field (Business Value),Custom field (Due Date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Funding Source),Custom field (Impact),Custom field (Pre-Condition),Custom field (Previous Names),Custom field (Product Line(s)),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Requirements),Custom field (SimV Story Points Deprecated),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (T-Shirt),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment
"Implement ""Add Link"" system",MMP-332,18857,17919,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,2/6/2015 14:28,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcsf:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
"Implement ""Break Link"" system",MMP-333,18858,17919,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,2/6/2015 14:29,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,10800,0,,0%,10800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcsn:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
Implement back end code to create and delete links,MMP-334,18859,17919,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,2/6/2015 14:29,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcsv:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
Add mechanism to roadmap editor to flag a row for deletion,MMP-339,18864,18834,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,2/6/2015 14:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxctz:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
"Add ""Delete Rows"" tool to the toolbar",MMP-340,18865,18834,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,2/6/2015 14:38,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcu7:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
"Implement UI code for ""New"" action and response",MMP-335,18860,18832,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,2/6/2015 14:32,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,10800,0,,0%,10800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxct3:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
Implement server-side code to create roadmap and default groups,MMP-336,18861,18832,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,2/6/2015 14:32,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,18000,0,,0%,18000,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxctb:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
Implement Delete UI function on Index page,MMP-337,18862,18832,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,2/6/2015 14:33,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxctj:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
Implement server side code for deleting the roadmap and groups,MMP-338,18863,18832,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,2/6/2015 14:35,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxctr:,9.22337E+18,,,MMP Sprint 8,,,,,,,,,,,
Remove FY funding fields from dev effort funding creation,MMP-317,18809,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,MatthewSerbinski,MatthewSerbinski,2/4/2015 7:30,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,Comments from the sponsor illustrate that entering funding for the FY fields upon creating a dev effort funding object should be removed.,,28800,0,,0%,28800,0,,,,,,,,05/Feb/15 10:42 AM;DavidTuell;MMP-317 Review.docx;https://jira.dev.simventions.com/secure/attachment/12041/MMP-317+Review.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzx66n:,9.22337E+18,,,MMP Sprint 7,,,,2,,,,,,,
Implement server side code to upload and associate attachment,MMP-316,18629,17063,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/26/2015 11:46,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,See core attachment code.,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcgv:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Investigate potential workarounds,MMP-313,18626,18586,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/26/2015 11:44,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"- Check into updating DataTables to 1.4 (beta, regression risk)
- Check into CLEditor updates
- Design solution to use a different Rich Text component (DataTables RT field)
",,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcg7:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Implement workaround (break down further),MMP-314,18627,18586,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/26/2015 11:45,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,57600,0,,0%,57600,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcgf:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Create picker modal that filters options by roadmap PM,MMP-308,18621,17045,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:39,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcf3:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Wire picker modal to buttons,MMP-309,18622,17045,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:39,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcfb:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Implement server-side logic to save object associations,MMP-310,18623,17045,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:40,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,21600,0,,0%,21600,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcfj:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Implement validation of program/dev effort association (no dupes),MMP-311,18624,17045,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:40,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcfr:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Implement UI response logic to refresh editor,MMP-312,18625,17045,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:41,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcfz:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Translate Roadmap model to expected JSON format,MMP-303,18616,17047,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/26/2015 11:32,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxce7:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Design discussion on UI data input format,MMP-304,18617,17047,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:33,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcdz:,9.22337E+18,,,MMP Sprint 7,,,,,,,"02/Feb/15 12:23 PM;DavidTuell;Task was not code-related, no review.",,,,
Import roadmap data into editor model,MMP-305,18618,17047,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/26/2015 11:34,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcef:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Modify bar rendering engine to support funding,MMP-306,18619,17047,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/26/2015 11:35,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcen:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Testing and tweaks,MMP-307,18620,17047,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/26/2015 11:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,57600,0,,0%,57600,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcev:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Plug in demo canvas editor,MMP-300,18613,17044,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:21,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcdb:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Size canvas with data,MMP-301,18614,17044,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/26/2015 11:24,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,21600,0,,0%,21600,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcdj:,9.22337E+18,,,MMP Sprint 7,,,,,,,"30/Jan/15 11:15 AM;DavidTuell;Canvas currently stretches beyond FY bounds, resulting in unused space saving with the image. Need to shrink canvas to fit shorter timelines if possible.","30/Jan/15 11:36 AM;DavidTuell;Made minor change to container sizing logic, we don't want the canvas to stretch if it doesn't fill the original screen width.",,,
Add links to roadmap table objects,MMP-302,18615,17044,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:30,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,10800,0,,0%,10800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcdr:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Improved Dialog for Confirming Deletes,MMP-296,18606,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,1/26/2015 10:05,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"As an MMP User, I want an easy way to understand which records are being deleted when I am about to do so.

Currently, the deletion prompt is a basic JavaScript alert box, which is not effective for communicating large lists of information. Create a modal dialog box with a scrollable list that can handle displaying the names of large lists of records.",,28800,0,,0%,28800,0,,,,,,,,03/Apr/15 8:34 AM;DavidTuell;MMP-296.docx;https://jira.dev.simventions.com/secure/attachment/12376/MMP-296.docx,,,"- When deleting Programs, Dev Efforts, or Roadmaps via selection, a modal displays containing the list of names of the objects about to be deleted.
- The modal should not be taller than 1/3 to 1/2 of the screen.
- The list of names should be scrollable if it will cause the modal to break the height constraints.
- The modal should allow the user to confim or cancel the operation.
- The modal should update with success or failure for each listed item.",,,,,,MMP-71,,,,MMP,,,,USMC,2|hzxejz:,9.22337E+18,,,MMP Sprint 11,,,,3,,,,,,,
Add Unique ID and Performer Fields to Basic Dev Quad,MMP-297,18608,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/26/2015 10:41,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,Add ProjectUniqueIdentifier and Performer attributes to the Quad Chart tab in development efforts so the users can populate them in Release 1,,28800,0,,0%,28800,0,,,,,,,,27/Jan/15 10:38 AM;DavidTuell;MMP-297.docx;https://jira.dev.simventions.com/secure/attachment/12024/MMP-297.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzx66f:,9.22337E+18,,,MMP Sprint 7,,,,3,,,,,,,
Remove Save Button From Schedule and Funding Tabs,MMP-295,18605,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/26/2015 9:58,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"The Save button displayed when entering Programs and Dev Efforts only affects the basic info form, and not schedule or funding nodes. Update the app to only show the save button on the form.",,14400,0,,0%,14400,0,,,,,,,,27/Jan/15 10:38 AM;DavidTuell;MMP-295.docx;https://jira.dev.simventions.com/secure/attachment/12023/MMP-295.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzx667:,9.22337E+18,,,MMP Sprint 7,,,,2,,,,,,,
Move Transition Stars Independently of Linked Dev Effort Node,MMP-294,18604,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/26/2015 9:56,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,The customer wants to be able to move a program's transition star but keep its linked dev effort node in place.,,14400,0,,0%,14400,0,,,,,,,,,,,#NAME?,,,,,,MMP-6,,,,MMP,,,,USMC,2|hzx65b:,9.22337E+18,,,MMP Sprint 7,,,,2,,,,,,,
Replace Trial Datatables Editor with Full Version,MMP-285,18540,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/20/2015 17:21,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,Replace the JS file for DataTables Editor with the full version.,,3600,0,,0%,3600,0,,,,,,,,,,,,,,,,,,,,,MMP,,,,USMC,2|hzx64f:,9.22337E+18,,,MMP Sprint 6,,,,1,,,23/Jan/15 9:20 AM;DavidTuell;Integration task - no code written so no review required.,,,,
Create page including canvas placeholder,MMP-298,18611,17044,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:19,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,900,,0%,7200,900,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxccv:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Implement layout of available buttons/tools,MMP-299,18612,17044,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,1/26/2015 11:20,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,21600,0,,0%,21600,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxcd3:,9.22337E+18,,,MMP Sprint 7,,,,,,,,,,,
Adjust UI columns,MMP-272,18313,18244,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:16,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc5j:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Adjust back end query,MMP-273,18314,18244,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:16,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc5r:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
"Test data and filters, cleanup",MMP-274,18315,18244,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:16,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc5z:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Add dummy data for demonstrations,MMP-275,18316,18244,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:25,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"Edit 20-30 development efforts to add values for Performer and Unique Project Identifier so the columns aren't completely blank for demonstrations.

For performer, use made up company names
For unique ID, use a funding source followed by a couple sets of numbers (e.g. SBIR-15-0001)",,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc67:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
"Implement validation for name, PM, and status",MMP-270,18311,18186,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:15,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,Server side is preferred validation method.,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc53:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement alert messages in editor page,MMP-271,18312,18186,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:15,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc5b:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement Back End method to query basic roadmap info,MMP-267,18308,18177,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:11,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc4f:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement Table,MMP-268,18309,18177,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:11,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"Includes columns for name, PM, and RoadmapImage, filterable only by PM",,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc4n:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement link to Roadmap Image,MMP-269,18310,18177,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:13,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"Use imageFormatter (Editors.js or ObjectTypes.js) from core as a guide (direct copy/paste not likely to work, but use at developer discretion)",,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc4v:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement Delete Function,MMP-262,18303,17541,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:08,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"Includes UI and back end, should function exactly like dev efforts.",,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc3b:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement Data Form Page,MMP-263,18304,17541,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:08,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,Includes breadcrumb and all basic fields from current tool (no events or milestone dates).,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc3j:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement Table to View/Edit Milestone Dates,MMP-264,18305,17541,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:09,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc3r:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement server-side code to save milestone dates,MMP-265,18306,17541,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:09,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc3z:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Implement Delete Function on Form page,MMP-266,18307,17541,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,1/12/2015 9:10,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,UI and back end - same as dev effort.,,7200,0,,0%,7200,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc47:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Distinguish node types/colors,MMP-277,18318,17297,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/12/2015 10:15,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,21600,0,,0%,21600,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc6n:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
Draw bars between StringBeads,MMP-276,18317,17297,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosephWallace,DavidTuell,DavidTuell,1/12/2015 10:14,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxc6f:,9.22337E+18,,,MMP Sprint 6,,,,,,,,,,,
